"Sl_No","Transmission_Type","Ownership","Fuel_Used","km_driven","Ex_Showroom_Price","On_road_Price","selling_price","Place_of_Origin","Complete_Info","Age","MRP"
"34",""" Manual""","""1st Owner""",""" Petrol""","26929","","564000.0","475999",""" Ahmedabad""",""" 2017 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT Manual""","5","564000"
"35",""" Manual""","""2nd Owner""",""" Petrol""","71052","","530000.0","408299",""" Ahmedabad""",""" 2013 Maruti Swift VXI Manual""","9","530000"
"36",""" Manual""","""1st Owner""",""" Petrol""","30814","383000","","346699",""" Ahmedabad""",""" 2018 Renault Kwid 1.0 RXT Opt Manual""","4","459600"
"37",""" Automatic""","""1st Owner""",""" Petrol""","47869","481000","","399699",""" Ahmedabad""",""" 2015 Maruti Celerio VXI AMT Automatic""","7","577200"
"38",""" Manual""","""1st Owner""",""" Diesel""","46351","692000","","526899",""" Ahmedabad""",""" 2015 Maruti Swift ZDI Manual""","7","830400"
"39",""" Manual""","""1st Owner""",""" Petrol""","9793","408000","","422999",""" Ahmedabad""",""" 2021 Maruti Alto LXI Manual""","1","489600"
"40",""" Manual""","""1st Owner""",""" Petrol""","10273","350000","","390599",""" Ahmedabad""",""" 2020 Maruti Alto LXI Manual""","2","420000"
"41",""" Manual""","""1st Owner""",""" Petrol""","22649","","1151000.0","976299",""" Ahmedabad""",""" 2021 Volkswagen Vento COMFORTLINE 1.0 TSI MT Manual""","1","1151000"
"42",""" Manual""","""1st Owner""",""" Petrol""","32030","","607000.0","490399",""" Ahmedabad""",""" 2019 Maruti Celerio VXI Manual""","3","607000"
"43",""" Manual""","""1st Owner""",""" Petrol""","14071","540000","","513799",""" Ahmedabad""",""" 2019 Maruti Celerio X Zxi Manual""","3","648000"
"44",""" Manual""","""1st Owner""",""" Petrol""","80441","","605000.0","469899",""" Ahmedabad""",""" 2014 Maruti Swift VXI Manual""","8","605000"
"45",""" Manual""","""2nd Owner""",""" Diesel""","281380","","1805000.0","700099",""" Ahmedabad""",""" 2013 Toyota Innova 2.5 VX 8 STR BS IV Manual""","9","1805000"
"46",""" Manual""","""1st Owner""",""" Diesel""","9069","","1151000.0","930699",""" Ahmedabad""",""" 2020 Ford Ecosport 1.5TITANIUM TDCI Manual""","2","1151000"
"47",""" Manual""","""2nd Owner""",""" Petrol""","46384","619000","","563799",""" Ahmedabad""",""" 2019 Maruti Swift VXI Manual""","3","742800"
"48",""" Manual""","""1st Owner""",""" Petrol""","22698","437000","","422199",""" Ahmedabad""",""" 2016 Maruti Wagon R 1.0 VXI Manual""","6","524400"
"49",""" Manual""","""1st Owner""",""" Diesel""","49531","966000","","708599",""" Ahmedabad""",""" 2016 Maruti Vitara Brezza ZDI PLUS DUAL TONE Manual""","6","1159200"
"50",""" Manual""","""1st Owner""",""" Petrol""","96801","","632000.0","413999",""" Ahmedabad""",""" 2014 Hyundai i20 SPORTZ 1.2 VTVT Manual""","8","632000"
"51",""" Manual""","""1st Owner""",""" Petrol""","24963","429000","","457999",""" Ahmedabad""",""" 2020 Renault Kwid Neotech Petrol 1.0 Manual""","2","514800"
"52",""" Manual""","""1st Owner""",""" Petrol""","19935","524000","","487199",""" Ahmedabad""",""" 2020 Renault Kwid 1.0 CLIMBER OPT Manual""","2","628800"
"53",""" Manual""","""1st Owner""",""" Diesel""","57552","","1725000.0","1141499",""" Ahmedabad""",""" 2019 Mahindra XUV500 W7 FWD Manual""","3","1725000"
"54",""" Manual""","""1st Owner""",""" Petrol""","26493","599000","","588799",""" Ahmedabad""",""" 2019 Renault TRIBER 1.0 RXT Manual""","3","718800"
"55",""" Automatic""","""1st Owner""",""" Diesel""","84312","1974000","","1390199",""" Ahmedabad""",""" 2019 Mahindra XUV500 W11 AT Automatic""","3","2368800"
"56",""" Manual""","""1st Owner""",""" Petrol""","12576","287000","","236199",""" Ahmedabad""",""" 2017 Datsun Redi Go A Manual""","5","344400"
"57",""" Manual""","""1st Owner""",""" Petrol""","87049","899000","","672599",""" Ahmedabad""",""" 2016 Honda City V MT PETROL Manual""","6","1078800"
"58",""" Automatic""","""1st Owner""",""" Petrol""","9459","514000","","430099",""" Ahmedabad""",""" 2016 Maruti Wagon R 1.0 VXI AMT Automatic""","6","616800"
"59",""" Manual""","""1st Owner""",""" Petrol""","43882","732000","","699699",""" Ahmedabad""",""" 2018 Honda Jazz 1.2 V MT Manual""","4","878400"
"60",""" Manual""","""1st Owner""",""" Diesel""","35356","1676000","","1357199",""" Ahmedabad""",""" 2019 Tata Harrier XZ 2.0L Kryotec Manual""","3","2011200"
"61",""" Manual""","""2nd Owner""",""" Petrol""","71188","480000","","436499",""" Ahmedabad""",""" 2018 Maruti Celerio ZXI Manual""","4","576000"
"62",""" Manual""","""2nd Owner""",""" Petrol""","51748","","605000.0","441199",""" Ahmedabad""",""" 2014 Maruti Swift VXI Manual""","8","605000"
"63",""" Manual""","""1st Owner""",""" Petrol""","79113","540000","","455799",""" Ahmedabad""",""" 2018 Maruti Celerio X Zxi Manual""","4","648000"
"64",""" Automatic""","""1st Owner""",""" Petrol""","10501","1776000","","1827699",""" Ahmedabad""",""" 2020 MG HECTOR SHARP DCT PETROL Automatic""","2","2131200"
"65",""" Manual""","""2nd Owner""",""" Petrol""","14833","","1259000.0","1012399",""" Ahmedabad""",""" 2019 Hyundai VENUE 1.0L Turbo GDI SX(O) MT Manual""","3","1259000"
"66",""" Manual""","""2nd Owner""",""" Petrol""","59933","","1044000.0","550199",""" Ahmedabad""",""" 2015 Volkswagen Vento HIGHLINE PETROL Manual""","7","1044000"
"67",""" Manual""","""1st Owner""",""" Petrol""","46277","400000","","264799",""" Ahmedabad""",""" 2013 Hyundai Eon ERA PLUS Manual""","9","480000"
"68",""" Manual""","""1st Owner""",""" Petrol""","10038","","530000.0","402699",""" Ahmedabad""",""" 2019 Maruti S PRESSO VXI PLUS Manual""","3","530000"
"69",""" Manual""","""1st Owner""",""" Diesel""","149068","","2431000.0","1030399",""" Ahmedabad""",""" 2017 Jeep Compass 2.0 LIMITED 4*2 Manual""","5","2431000"
"70",""" Manual""","""1st Owner""",""" Petrol""","4646","","895000.0","819499",""" Ahmedabad""",""" 2021 Maruti Vitara Brezza LXI Manual""","1","895000"
"71",""" Manual""","""1st Owner""",""" Diesel""","150355","966000","","707799",""" Ahmedabad""",""" 2016 Maruti Vitara Brezza ZDI PLUS DUAL TONE Manual""","6","1159200"
"72",""" Automatic""","""1st Owner""",""" Petrol""","59803","637000","","645599",""" Ahmedabad""",""" 2018 Maruti Swift VXI AMT Automatic""","4","764400"
"73",""" Automatic""","""1st Owner""",""" Petrol""","25480","1945000","","1395799",""" Ahmedabad""",""" 2019 Honda Civic VX CVT i-VTEC Automatic""","3","2334000"
"74",""" Automatic""","""1st Owner""",""" Petrol""","40145","976000","","892999",""" Ahmedabad""",""" 2020 Volkswagen Polo GT TSI AT 1.0 Automatic""","2","1171200"
"75",""" Manual""","""1st Owner""",""" Diesel""","52970","1269000","","1353099",""" Ahmedabad""",""" 2020 KIA SELTOS HTK PLUS 1.5 DIESEL Manual""","2","1522800"
"76",""" Automatic""","""1st Owner""",""" Petrol""","95439","1307000","","868099",""" Ahmedabad""",""" 2018 Honda City VX CVT PETROL Automatic""","4","1568400"
"77",""" Manual""","""1st Owner""",""" Petrol""","72969","","605000.0","481099",""" Ahmedabad""",""" 2016 Maruti Swift VXI Manual""","6","605000"
"78",""" Manual""","""1st Owner""",""" Diesel""","115157","","1842000.0","1091199",""" Ahmedabad""",""" 2018 Mahindra XUV500 W9 Manual""","4","1842000"
"79",""" Manual""","""1st Owner""",""" Petrol""","6580","","1059000.0","879699",""" Ahmedabad""",""" 2021 Maruti Vitara Brezza VXI Manual""","1","1059000"
"80",""" Manual""","""1st Owner""",""" Petrol""","24211","732000","","709099",""" Ahmedabad""",""" 2018 Honda Jazz 1.2 V MT Manual""","4","878400"
"81",""" Automatic""","""1st Owner""",""" Petrol""","31889","","1592000.0","1278099",""" Ahmedabad""",""" 2019 Hyundai Creta 1.6 VTVT SX AUTO Automatic""","3","1592000"
"82",""" Manual""","""1st Owner""",""" Diesel""","87343","","686000.0","395499",""" Ahmedabad""",""" 2017 Hyundai Grand i10 magna 1.2 crdi Manual""","5","686000"
"83",""" Manual""","""1st Owner""",""" Petrol""","9057","","1388000.0","1023299",""" Ahmedabad""",""" 2020 Hyundai VENUE SX 1.0 GDI IMT Manual""","2","1388000"
"84",""" Manual""","""1st Owner""",""" Petrol""","26962","","595000.0","514199",""" Ahmedabad""",""" 2016 Maruti Baleno SIGMA 1.2 K12 Manual""","6","595000"
"85",""" Manual""","""1st Owner""",""" Petrol""","40054","","653000.0","546099",""" Ahmedabad""",""" 2016 Honda Amaze 1.2 SMT I VTEC Manual""","6","653000"
"86",""" Automatic""","""1st Owner""",""" Diesel""","58756","","1790000.0","1192499",""" Ahmedabad""",""" 2018 Hyundai Creta 1.6 CRDI SX PLUS AUTO Automatic""","4","1790000"
"87",""" Manual""","""1st Owner""",""" Diesel""","18392","","1136000.0","943399",""" Ahmedabad""",""" 2019 Ford Ecosport 1.5TITANIUM TDCI Manual""","3","1136000"
"88",""" Manual""","""1st Owner""",""" Petrol""","7807","","612000.0","523099",""" Ahmedabad""",""" 2017 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual""","5","612000"
"89",""" Automatic""","""1st Owner""",""" Petrol""","3195","833000","","1045599",""" Ahmedabad""",""" 2021 Maruti Baleno ZETA 1.2 K12 CVT Automatic""","1","999600"
"90",""" Manual""","""1st Owner""",""" Petrol""","75970","520000","","352399",""" Ahmedabad""",""" 2015 Honda Brio 1.2 S MT I VTEC Manual""","7","624000"
"91",""" Automatic""","""1st Owner""",""" Petrol""","13069","1288000","","1378499",""" Ahmedabad""",""" 2020 Honda City VX CVT PETROL Automatic""","2","1545600"
"92",""" Manual""","""2nd Owner""",""" Petrol""","15740","326000","","309499",""" Ahmedabad""",""" 2017 Maruti Alto 800 VXI Manual""","5","391200"
"93",""" Manual""","""1st Owner""",""" Petrol""","58517","491000","","492799",""" Ahmedabad""",""" 2019 Maruti Celerio ZXI Manual""","3","589200"
"94",""" Manual""","""1st Owner""",""" Petrol""","28022","","706000.0","541699",""" Ahmedabad""",""" 2019 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual""","3","706000"
"95",""" Manual""","""1st Owner""",""" Petrol""","6234","507000","","525599",""" Ahmedabad""",""" 2020 Hyundai NEW SANTRO SPORTZ 1.1 Manual""","2","608400"
"96",""" Manual""","""1st Owner""",""" Diesel""","49622","","1136000.0","787399",""" Ahmedabad""",""" 2019 Ford Ecosport 1.5TITANIUM TDCI Manual""","3","1136000"
"97",""" Automatic""","""2nd Owner""",""" Diesel""","40336","1329000","","1088199",""" Ahmedabad""",""" 2019 Hyundai Verna 1.6 CRDI SX + AT Automatic""","3","1594800"
"98",""" Manual""","""3rd Owner""",""" Diesel""","59671","560000","","588699",""" Ahmedabad""",""" 2016 Hyundai Elite i20 ASTA 1.4 CRDI Manual""","6","672000"
"99",""" Manual""","""1st Owner""",""" Petrol""","16642","385000","","323699",""" Ahmedabad""",""" 2016 Hyundai Eon ERA PLUS Manual""","6","462000"
"100",""" Automatic""","""2nd Owner""",""" Petrol""","17142","1256000","","1011499",""" Ahmedabad""",""" 2018 Hyundai Verna 1.6 SX VTVT AT (O) Automatic""","4","1507200"
"101",""" Automatic""","""1st Owner""",""" Diesel""","25302","","979000.0","842699",""" Ahmedabad""",""" 2019 Honda Amaze VX AT I DTEC Automatic""","3","979000"
"102",""" Manual""","""1st Owner""",""" Petrol""","41419","","630000.0","571299",""" Ahmedabad""",""" 2019 Maruti New  Wagon-R VXI 1.2L Manual""","3","630000"
"103",""" Manual""","""1st Owner""",""" Petrol""","19124","","770000.0","632999",""" Ahmedabad""",""" 2020 Hyundai GRAND I10 NIOS SPORTZ PETROL Manual""","2","770000"
"104",""" Manual""","""1st Owner""",""" Petrol""","21363","686000","","730999",""" Ahmedabad""",""" 2021 Maruti Baleno DELTA 1.2 K12 Manual""","1","823200"
"105",""" Manual""","""1st Owner""",""" Petrol""","54537","437000","","392899",""" Ahmedabad""",""" 2016 Maruti Wagon R 1.0 VXI Manual""","6","524400"
"106",""" Manual""","""1st Owner""",""" Petrol""","55308","","564000.0","475999",""" Ahmedabad""",""" 2017 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT Manual""","5","564000"
"107",""" Automatic""","""1st Owner""",""" Diesel""","83685","","1790000.0","1220699",""" Ahmedabad""",""" 2018 Hyundai Creta 1.6 CRDI SX PLUS AUTO Automatic""","4","1790000"
"108",""" Automatic""","""2nd Owner""",""" Diesel""","49490","1295000","","936899",""" Ahmedabad""",""" 2018 Hyundai Verna 1.6 CRDI SX + AT Automatic""","4","1554000"
"109",""" Manual""","""1st Owner""",""" Petrol""","48280","","897000.0","638499",""" Ahmedabad""",""" 2016 Maruti Ciaz VXI PLUS Manual""","6","897000"
"110",""" Manual""","""1st Owner""",""" Petrol""","19762","999000","","1107499",""" Ahmedabad""",""" 2019 KIA SELTOS HTK 1.5 PETROL Manual""","3","1198800"
"111",""" Manual""","""2nd Owner""",""" Petrol""","9239","","612000.0","510699",""" Ahmedabad""",""" 2017 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual""","5","612000"
"112",""" Manual""","""1st Owner""",""" Diesel""","33038","","1151000.0","913399",""" Ahmedabad""",""" 2020 Ford Ecosport 1.5TITANIUM TDCI Manual""","2","1151000"
"113",""" Manual""","""2nd Owner""",""" Diesel""","42468","1173000","","888099",""" Ahmedabad""",""" 2019 Hyundai Verna 1.6 CRDI SX Manual""","3","1407600"
"114",""" Manual""","""1st Owner""",""" Petrol""","34759","","572000.0","394599",""" Ahmedabad""",""" 2014 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT Manual""","8","572000"
"115",""" Manual""","""1st Owner""",""" Diesel""","37237","","2431000.0","1326099",""" Ahmedabad""",""" 2018 Jeep Compass 2.0 LIMITED Manual""","4","2431000"
"116",""" Manual""","""2nd Owner""",""" Petrol""","58839","","755000.0","566199",""" Ahmedabad""",""" 2015 Maruti Baleno ZETA 1.2 K12 Manual""","7","755000"
"117",""" Manual""","""1st Owner""",""" Diesel""","150727","","1450000.0","795499",""" Ahmedabad""",""" 2015 Hyundai Creta 1.6 SX (O) CRDI Manual""","7","1450000"
"118",""" Manual""","""1st Owner""",""" Petrol""","20824","307000","","304599",""" Ahmedabad""",""" 2017 Maruti Alto 800 LXI Manual""","5","368400"
"119",""" Manual""","""1st Owner""",""" Petrol""","51364","425000","","440699",""" Ahmedabad""",""" 2019 Hyundai NEW SANTRO ERA 1.1 Manual""","3","510000"
"120",""" Manual""","""1st Owner""",""" Petrol""","75671","307000","","302099",""" Ahmedabad""",""" 2017 Maruti Alto 800 LXI Manual""","5","368400"
"121",""" Automatic""","""1st Owner""",""" Petrol""","21353","","812000.0","636999",""" Ahmedabad""",""" 2017 Hyundai Grand i10 SPORTZ (O) 1.2 AT VTVT Automatic""","5","812000"
"122",""" Manual""","""1st Owner""",""" Petrol""","5848","","530000.0","419599",""" Ahmedabad""",""" 2019 Maruti S PRESSO VXI PLUS Manual""","3","530000"
"123",""" Manual""","""1st Owner""",""" Petrol""","49314","","564000.0","477099",""" Ahmedabad""",""" 2017 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT Manual""","5","564000"
"124",""" Manual""","""1st Owner""",""" Petrol""","45502","725000","","883099",""" Ahmedabad""",""" 2020 Hyundai VENUE S MT 1.2 KAPPA Manual""","2","870000"
"125",""" Manual""","""1st Owner""",""" Petrol + CNG""","69738","","833000.0","633499",""" Ahmedabad""",""" 2019 Honda Amaze 1.2 SMT I VTEC Manual""","3","833000"
"126",""" Manual""","""1st Owner""",""" Petrol""","98828","385000","","335699",""" Ahmedabad""",""" 2014 Maruti Wagon R 1.0 VXI Manual""","8","462000"
"127",""" Manual""","""1st Owner""",""" Petrol""","14257","386000","","297799",""" Ahmedabad""",""" 2017 Datsun Redi Go S 1.0 Manual""","5","463200"
"128",""" Manual""","""1st Owner""",""" Petrol""","16757","","564000.0","480099",""" Ahmedabad""",""" 2017 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT Manual""","5","564000"
"129",""" Manual""","""1st Owner""",""" Petrol""","88370","","612000.0","441699",""" Ahmedabad""",""" 2016 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT Manual""","6","612000"
"130",""" Manual""","""1st Owner""",""" Petrol""","9204","698000","","776999",""" Ahmedabad""",""" 2020 Maruti Baleno ZETA 1.2 K12 Manual""","2","837600"
"131",""" Manual""","""1st Owner""",""" Diesel""","72123","","1450000.0","1226599",""" Ahmedabad""",""" 2018 Hyundai Creta 1.6 SX (O) CRDI Manual""","4","1450000"
"132",""" Manual""","""1st Owner""",""" Petrol""","28632","","772000.0","606599",""" Ahmedabad""",""" 2019 Maruti Baleno DELTA 1.2 K12 Manual""","3","772000"
"133",""" Automatic""","""2nd Owner""",""" Diesel""","90181","","1790000.0","871899",""" Ahmedabad""",""" 2017 Hyundai Creta 1.6 CRDI SX PLUS AUTO Automatic""","5","1790000"
"134",""" Manual""","""2nd Owner""",""" Petrol""","50714","562000","678000.0","538299",""" Ahmedabad""",""" 2017 Maruti Swift VXI Manual""","5","678000"
"135",""" Manual""","""1st Owner""",""" Petrol""","11247","393000","","494899",""" Ahmedabad""",""" 2020 Maruti Eeco 5 STR WITH AC PLUSHTR Manual""","2","471600"
"136",""" Manual""","""2nd Owner""",""" Diesel""","100430","","2431000.0","997499",""" Ahmedabad""",""" 2017 Jeep Compass 2.0 LIMITED Manual""","5","2431000"
"137",""" Manual""","""1st Owner""",""" Petrol""","10123","673000","","611799",""" Ahmedabad""",""" 2018 Hyundai Xcent SX 1.2 Manual""","4","807600"
"138",""" Manual""","""1st Owner""",""" Petrol""","39550","355000","","441899",""" Ahmedabad""",""" 2017 Maruti Eeco 5 STR WITH AC PLUSHTR Manual""","5","426000"
"139",""" Manual""","""1st Owner""",""" Petrol""","15300","371000","","343999",""" Ahmedabad""",""" 2017 Hyundai Eon ERA PLUS Manual""","5","445200"
"140",""" Manual""","""1st Owner""",""" Petrol""","10006","307000","","312099",""" Ahmedabad""",""" 2017 Maruti Alto 800 LXI Manual""","5","368400"
"141",""" Manual""","""1st Owner""",""" Petrol""","20748","712000","","770199",""" Ahmedabad""",""" 2018 Hyundai Elite i20 ASTA 1.2 Manual""","4","854400"
"142",""" Manual""","""1st Owner""",""" Petrol""","4933","","535000.0","536899",""" Ahmedabad""",""" 2020 Maruti IGNIS SIGMA 1.2 K12 Manual""","2","535000"
"143",""" Manual""","""1st Owner""",""" Petrol""","64886","698000","","741899",""" Ahmedabad""",""" 2020 Maruti Baleno ZETA 1.2 K12 Manual""","2","837600"
"144",""" Manual""","""1st Owner""",""" Diesel""","41465","966000","","787399",""" Ahmedabad""",""" 2016 Maruti Vitara Brezza ZDI PLUS DUAL TONE Manual""","6","1159200"
"145",""" Manual""","""1st Owner""",""" Petrol""","70427","","612000.0","441699",""" Ahmedabad""",""" 2016 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT Manual""","6","612000"
"146",""" Manual""","""1st Owner""",""" Petrol""","73191","","612000.0","441699",""" Ahmedabad""",""" 2016 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT Manual""","6","612000"
"147",""" Manual""","""1st Owner""",""" Petrol""","12536","","706000.0","628799",""" Ahmedabad""",""" 2019 Hyundai Grand i10 1.2 KAPPA SPORTZ (O) Manual""","3","706000"
"148",""" Manual""","""1st Owner""",""" Petrol""","11634","350000","","378299",""" Ahmedabad""",""" 2020 Maruti Alto LXI Manual""","2","420000"
"149",""" Manual""","""1st Owner""",""" Petrol""","6279","645000","","644899",""" Ahmedabad""",""" 2020 Maruti Baleno DELTA 1.2 K12 Manual""","2","774000"
"150",""" Manual""","""1st Owner""",""" Petrol""","15568","355000","","436799",""" Ahmedabad""",""" 2017 Maruti Eeco 5 STR WITH AC PLUSHTR Manual""","5","426000"
"151",""" Manual""","""1st Owner""",""" Diesel""","60946","","2431000.0","1425399",""" Ahmedabad""",""" 2019 Jeep Compass 2.0 LIMITED Manual""","3","2431000"
"152",""" Automatic""","""1st Owner""",""" Diesel""","74829","1919000","","1349299",""" Ahmedabad""",""" 2017 Hyundai New Elantra 1.6 SX AT O Automatic""","5","2302800"
"153",""" Manual""","""1st Owner""",""" Diesel""","61569","791000","","686699",""" Ahmedabad""",""" 2017 Maruti Vitara Brezza VDI OPT Manual""","5","949200"
"154",""" Automatic""","""1st Owner""",""" Petrol""","94609","1307000","","882099",""" Ahmedabad""",""" 2018 Honda City VX CVT PETROL Automatic""","4","1568400"
"155",""" Manual""","""1st Owner""",""" Petrol""","3627","645000","","696299",""" Ahmedabad""",""" 2020 Maruti Baleno DELTA 1.2 K12 Manual""","2","774000"
"156",""" Manual""","""1st Owner""",""" Petrol""","10575","428000","","425899",""" Ahmedabad""",""" 2020 Maruti Alto VXI Manual""","2","513600"
"157",""" Manual""","""1st Owner""",""" Petrol""","7779","1301000","","1441799",""" Ahmedabad""",""" 2020 Honda City ZX MT PETROL Manual""","2","1561200"
"158",""" Manual""","""1st Owner""",""" Petrol""","31386","307000","","320399",""" Ahmedabad""",""" 2017 Maruti Alto 800 LXI Manual""","5","368400"
"159",""" Manual""","""1st Owner""",""" Petrol""","2385","686000","","754399",""" Ahmedabad""",""" 2021 Maruti Baleno DELTA 1.2 K12 Manual""","1","823200"
"160",""" Manual""","""1st Owner""",""" Petrol""","30916","","612000.0","496699",""" Ahmedabad""",""" 2016 Hyundai Grand i10 SPORTS 1.2 VTVT Manual""","6","612000"
"161",""" Manual""","""1st Owner""",""" Petrol""","6188","645000","","664999",""" Ahmedabad""",""" 2020 Maruti Baleno DELTA 1.2 K12 Manual""","2","774000"
